Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
UXS1	na	14.210705	22.731281	18.876191	12.546184	21.056916	18.634477	13.386496	20.742765	17.270997
STEAP3	na	10.303722	6.33995	5.508193	7.680846	5.794267	5.083713	9.289756	4.894628	5.18906
MZT2B	na	169.484835	124.367891	110.3966	143.420453	120.26582	104.167692	158.236808	120.053343	123.730268
MZT2B	na	57.547067	42.672533	39.07413	61.614382	38.167571	36.298539	53.014233	37.348423	39.34625
MZT2A	na	130.599832	109.225903	84.51706	124.404283	104.160451	88.447127	125.227746	108.155358	88.344966
FAP	na	4.019041	16.14541	8.088977	1.942356	11.365938	4.900103	1.949934	9.049311	7.243146
CDCA7	na	49.003683	30.970313	22.497527	54.152008	29.086045	22.071776	53.42332	27.681537	22.003367
CDCA7	na	4.769052	3.51759	2.386279	8.093661	3.69444	2.462465	7.016843	3.793079	2.601675
SLC39A10	na	7.985121	5.982279	5.971794	9.632709	5.183411	6.236705	9.556096	5.47044	5.971105
COQ10B	na	7.501163	14.0196	10.87839	8.874955	14.329703	12.375064	8.77808	13.520131	10.877135
CASP8	na	4.547276	8.504475	6.855477	4.199224	9.104003	8.02855	4.976285	7.688858	6.706153
CXCR2	na	4.424916	6.159497	7.314517	4.468588	5.921813	7.820822	4.759475	6.146733	7.400578
TUBA4A	na	7.309091	9.989062	10.919955	6.929353	10.043945	13.794171	7.421823	10.44516	13.06024
TUBA4A	na	8.105175	14.380749	16.213206	8.580388	11.502989	14.760089	8.865489	13.14732	15.555662
